date,open,high,low,close,volume
2018-01-02T20:00:00,12897.69,12924.16,12745.15,12871.39,0
2018-01-03T20:00:00,12916.18,13023.59,12893.05,12978.21,0
2018-01-04T20:00:00,13065.98,13208.35,13062.67,13167.89,0
2018-01-05T20:00:00,13219.11,13332.80,13219.11,13319.64,0
2018-01-08T20:00:00,13399.62,13407.82,13334.16,13367.78,0
2018-01-09T20:00:00,13383.26,13425.02,13361.22,13385.59,0
2018-01-10T20:00:00,13355.28,13377.88,13227.57,13281.34,0
2018-01-11T20:00:00,13281.20,13298.65,13151.84,13202.90,0
2018-01-12T20:00:00,13241.28,13265.14,13168.01,13245.03,0
2018-01-15T20:00:00,13244.37,13250.37,13173.71,13200.51,0
2018-01-16T20:00:00,13228.60,13351.09,13196.56,13246.33,0
2018-01-17T20:00:00,13200.92,13251.44,13137.51,13183.96,0
2018-01-18T20:00:00,13250.25,13293.29,13201.34,13281.43,0
2018-01-19T20:00:00,13297.74,13445.47,13294.81,13434.45,0
2018-01-22T20:00:00,13435.14,13470.05,13410.96,13463.69,0
2018-01-23T20:00:00,13577.14,13596.89,13517.81,13559.60,0
2018-01-24T20:00:00,13572.71,13576.84,13414.74,13414.74,0
2018-01-25T20:00:00,13374.38,13443.36,13222.47,13298.36,0
2018-01-26T20:00:00,13297.51,13348.69,13268.31,13340.17,0
2018-01-29T20:00:00,13358.90,13370.02,13274.84,13324.48,0
2018-01-30T20:00:00,13223.97,13309.86,13171.91,13197.71,0
2018-01-31T20:00:00,13210.76,13268.41,13159.35,13189.48,0
2018-02-01T20:00:00,13235.15,13301.41,12971.78,13003.90,0
2018-02-02T20:00:00,12954.59,12954.59,12782.07,12785.16,0
2018-02-05T20:00:00,12687.79,12752.60,12622.44,12687.49,0
2018-02-06T20:00:00,12232.86,12550.16,12232.86,12392.66,0
2018-02-07T20:00:00,12478.68,12651.28,12414.84,12590.43,0
2018-02-08T20:00:00,12506.18,12541.32,12187.45,12260.29,0
2018-02-09T20:00:00,12263.10,12296.18,12003.36,12107.48,0
2018-02-12T20:00:00,12238.63,12379.16,12222.34,12282.77,0
2018-02-13T20:00:00,12282.76,12300.63,12196.22,12196.50,0
2018-02-14T20:00:00,12294.85,12393.71,12075.21,12339.16,0
2018-02-15T20:00:00,12425.45,12479.97,12275.04,12346.17,0
2018-02-16T20:00:00,12408.48,12484.12,12368.71,12451.96,0
2018-02-19T20:00:00,12495.07,12505.49,12361.86,12385.60,0
2018-02-20T20:00:00,12403.63,12496.10,12333.79,12487.90,0
2018-02-21T20:00:00,12457.22,12474.37,12372.26,12470.49,0
2018-02-22T20:00:00,12358.82,12497.71,12283.70,12461.91,0
